,Start_time,Stage,hr,HRV
0,2022-01-01 02:00:11+01:00,4,67.0,18.0
1,2022-01-01 02:05:11+01:00,4,66.0,22.0
2,2022-01-01 02:10:11+01:00,4,66.0,21.0
3,2022-01-01 02:15:11+01:00,4,66.0,17.0
4,2022-01-01 02:20:11+01:00,2,65.0,25.0
5,2022-01-01 02:25:11+01:00,2,65.0,21.0
6,2022-01-01 02:30:11+01:00,1,64.0,22.0
7,2022-01-01 02:35:11+01:00,1,63.0,28.0
8,2022-01-01 02:40:11+01:00,1,64.0,27.0
9,2022-01-01 02:45:11+01:00,1,62.0,30.0
10,2022-01-01 02:50:11+01:00,1,62.0,25.0
11,2022-01-01 02:55:11+01:00,1,61.0,28.0
12,2022-01-01 03:00:11+01:00,1,61.0,31.0
13,2022-01-01 03:05:11+01:00,2,62.0,33.0
14,2022-01-01 03:10:11+01:00,2,61.0,23.0
15,2022-01-01 03:15:11+01:00,1,61.0,21.0
16,2022-01-01 03:20:11+01:00,1,62.0,18.0
17,2022-01-01 03:25:11+01:00,1,64.0,17.0
18,2022-01-01 03:30:11+01:00,3,64.0,16.0
19,2022-01-01 03:35:11+01:00,3,66.0,13.0
20,2022-01-01 03:40:11+01:00,3,67.0,27.0
21,2022-01-01 03:45:11+01:00,3,66.0,16.0
22,2022-01-01 03:50:11+01:00,2,68.0,19.0
23,2022-01-01 03:55:11+01:00,2,66.0,19.0
24,2022-01-01 04:00:11+01:00,3,66.0,20.0
25,2022-01-01 04:05:11+01:00,2,63.0,21.0
26,2022-01-01 04:10:11+01:00,2,,
27,2022-01-01 04:15:11+01:00,1,,
28,2022-01-01 04:20:11+01:00,2,62.0,28.0
29,2022-01-01 04:25:11+01:00,2,61.0,34.0
30,2022-01-01 04:30:11+01:00,3,60.0,25.0
31,2022-01-01 04:35:11+01:00,1,60.0,28.0
32,2022-01-01 04:40:11+01:00,2,,
33,2022-01-01 04:45:11+01:00,2,,
34,2022-01-01 04:50:11+01:00,2,57.0,33.0
35,2022-01-01 04:55:11+01:00,2,61.0,34.0
36,2022-01-01 05:00:11+01:00,2,59.0,31.0
37,2022-01-01 05:05:11+01:00,4,,
38,2022-01-01 05:10:11+01:00,4,,
39,2022-01-01 05:15:11+01:00,1,61.0,32.0
40,2022-01-01 05:20:11+01:00,3,60.0,34.0
41,2022-01-01 05:25:11+01:00,3,63.0,30.0
42,2022-01-01 05:30:11+01:00,2,63.0,29.0
43,2022-01-01 05:35:11+01:00,2,61.0,35.0
44,2022-01-01 05:40:11+01:00,2,,
45,2022-01-01 05:45:11+01:00,1,,
46,2022-01-01 05:50:11+01:00,1,,
47,2022-01-01 05:55:11+01:00,2,,
48,2022-01-01 06:00:11+01:00,2,,
49,2022-01-01 06:05:11+01:00,2,,
50,2022-01-01 06:10:11+01:00,2,,
51,2022-01-01 06:15:11+01:00,2,,
52,2022-01-01 06:20:11+01:00,1,,
53,2022-01-01 06:25:11+01:00,3,,
54,2022-01-01 06:30:11+01:00,3,63.0,17.0
55,2022-01-01 06:35:11+01:00,3,67.0,10.0
56,2022-01-01 06:40:11+01:00,3,67.0,11.0
57,2022-01-01 06:45:11+01:00,3,64.0,12.0
58,2022-01-01 06:50:11+01:00,3,63.0,17.0
59,2022-01-01 06:55:11+01:00,2,63.0,33.0
60,2022-01-01 07:00:11+01:00,2,62.0,34.0
61,2022-01-01 07:05:11+01:00,2,62.0,30.0
62,2022-01-01 07:10:11+01:00,1,61.0,36.0
63,2022-01-01 07:15:11+01:00,1,62.0,30.0
64,2022-01-01 07:20:11+01:00,1,63.0,27.0
65,2022-01-01 07:25:11+01:00,1,63.0,27.0
66,2022-01-01 07:30:11+01:00,2,64.0,26.0
67,2022-01-01 07:35:11+01:00,2,60.0,30.0
68,2022-01-01 07:40:11+01:00,2,61.0,35.0
69,2022-01-01 07:45:11+01:00,3,62.0,31.0
70,2022-01-01 07:50:11+01:00,3,61.0,35.0
71,2022-01-01 07:55:11+01:00,3,60.0,33.0
72,2022-01-01 08:00:11+01:00,2,60.0,44.0
73,2022-01-01 08:05:11+01:00,3,60.0,51.0
74,2022-01-01 08:10:11+01:00,3,,
75,2022-01-01 08:15:11+01:00,3,60.0,35.0
76,2022-01-01 08:20:11+01:00,3,61.0,28.0
77,2022-01-01 08:25:11+01:00,3,62.0,30.0
78,2022-01-01 08:30:11+01:00,3,61.0,35.0
79,2022-01-01 08:35:11+01:00,3,63.0,31.0
80,2022-01-01 08:40:11+01:00,3,65.0,25.0
81,2022-01-01 08:45:11+01:00,3,65.0,20.0
82,2022-01-01 08:50:11+01:00,3,66.0,18.0
83,2022-01-01 08:55:11+01:00,3,66.0,25.0
84,2022-01-01 09:00:11+01:00,4,67.0,20.0
85,2022-01-01 09:05:11+01:00,4,67.0,17.0
86,2022-01-01 09:10:11+01:00,4,68.0,21.0
87,2022-01-01 09:15:11+01:00,4,,
